Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
COCH	COCH-5B2, DFNA31, DFNA9	ENSG00000100473	Cochlin	14	31343720-31364271	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA050122	Uncertain			Tissue enriched	6	pancreas: 210.2	prostate: 35.3
COIL	CLN80, p80-coilin	ENSG00000121058	Coilin	17	55015548-55038415	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB017524, HPA027884	Uncertain	Supportive	Nucleus, Nucleoli	Tissue enriched	6	testis: 84.6	tonsil: 13.6
COLEC10	CL-L1	ENSG00000184374	Collectin sub-family member 10 (C-type lectin)	8	120007691-120118821	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA024511	Uncertain			Tissue enriched	6	liver: 48.2	placenta: 8.4
CPLX1	CPX-I	ENSG00000168993	Complexin 1	4	778745-819986	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 27.2	prostate: 4.5
CRISP1	AEGL1, ARP, CRISP-1, HSCRISP1D, HSCRISP1G, HUMARP	ENSG00000124812	Cysteine-rich secretory protein 1	6	49801970-49844809	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA028445	Uncertain			Tissue enriched	6	testis: 1.5	salivary gland: 0.2
CTD-2330K9.3		ENSG00000228008	Uncharacterized protein 	3	49941278-49954370		Evidence at transcript level	Evidence at transcript level							Tissue enriched	6	testis: 2.7	stomach: 0.5
CTNND2	GT24, NPRAP	ENSG00000169862	Catenin (cadherin-associated protein), delta 2	5	10971952-11904155	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA015077, CAB037339	Uncertain	Uncertain	Nucleus but not nucleoli, Golgi apparatus, Cell Junctions	Tissue enriched	6	cerebral cortex: 94.2	pancreas: 14.7
DDIT4L	REDD2, Rtp801L	ENSG00000145358	DNA-damage-inducible transcript 4-like	4	101107027-101111939		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA050903	Uncertain			Tissue enriched	6	skeletal muscle: 120.7	prostate: 19.3
DLGAP1	DAP-1, GKAP, SAPAP1	ENSG00000170579	Discs, large (Drosophila) homolog-associated protein 1	18	3496030-4455335	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040963	Uncertain			Tissue enriched	6	cerebral cortex: 57.5	fallopian tube: 9.5
DLX4	BP1, DLX7, DLX8, DLX9	ENSG00000108813	Distal-less homeobox 4	17	48046334-48052321	Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA059933	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enriched	6	placenta: 5.3	skin: 0.8
DNAH9	DNAH17L, Dnahc9, DNAL1, DYH9, HL-20, HL20, KIAA0357	ENSG00000007174	Dynein, axonemal, heavy chain 9	17	11501748-11873065	Cytoskeleton related proteins, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA052641	Supportive			Tissue enriched	6	fallopian tube: 49.4	testis: 9.0
DNAJC5B	CSP-beta, MGC26226	ENSG00000147570	DnaJ (Hsp40) homolog, subfamily C, member 5 beta	8	66933795-67012751	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	6	testis: 49.9	lymph node: 7.9
DUSP13	BEDP, DUSP13A, DUSP13B, FLJ32450, TMDP	ENSG00000079393	Dual specificity phosphatase 13	10	76854192-76868979	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA024162	Uncertain			Tissue enriched	6	skeletal muscle: 180.8	testis: 32.3
ECM1		ENSG00000143369	Extracellular matrix protein 1	1	150480538-150486265	Disease related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA027241	Uncertain	Uncertain	Cytoplasm, Nucleus but not nucleoli	Tissue enriched	6	esophagus: 719.7	tonsil: 127.8
EMX1		ENSG00000135638	Empty spiracles homeobox 1	2	73143389-73162020	Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA006421	Uncertain			Tissue enriched	6	kidney: 26.6	cerebral cortex: 4.8
EPYC	DSPG3, Pg-Lb, SLRR3B	ENSG00000083782	Epiphycan	12	91357456-91398803	Plasma proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA038212, HPA045455	Uncertain			Tissue enriched	6	placenta: 6.4	endometrium: 1.1
EREG	ER	ENSG00000124882	Epiregulin	4	75230860-75254468	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA054373	Uncertain	Uncertain	Vesicles	Tissue enriched	6	bone marrow: 82.8	esophagus: 14.5
FAM92B	FLJ44299	ENSG00000153789	Family with sequence similarity 92, member B	16	85131965-85146114	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA041022	Supportive			Tissue enriched	6	fallopian tube: 27.5	lung: 4.5
FBXW12	Fbw12, FBXO35	ENSG00000164049	F-box and WD repeat domain containing 12	3	48413709-48442666	Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA037491, HPA037492	Uncertain			Tissue enriched	6	pancreas: 3.1	testis: 0.6
FGFBP1	FGFBP, HBP17	ENSG00000137440	Fibroblast growth factor binding protein 1	4	15937192-15940363	Cancer-related genes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004332	Supportive			Tissue enriched	6	esophagus: 295.1	tonsil: 46.9
FGFBP3	C10orf13, MGC39320	ENSG00000174721	Fibroblast growth factor binding protein 3	10	93666346-93669240	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA053943	Uncertain			Tissue enriched	6	cerebral cortex: 9.2	prostate: 1.5
FOXB1	FKH5, HFKH-5	ENSG00000171956	Forkhead box B1	15	60296421-60353929	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	testis: 1.5	placenta: 0.2
FOXC1	ARA, FKHL7, FREAC3, IGDA, IHG1, IRID1	ENSG00000054598	Forkhead box C1	6	1610681-1614127	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040670	Uncertain	Supportive	Nucleus but not nucleoli	Tissue enriched	6	salivary gland: 117.9	kidney: 18.9
GABRA3		ENSG00000011677	Gamma-aminobutyric acid (GABA) A receptor, alpha 3	X	151334706-151619830	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA000839	Uncertain			Tissue enriched	6	cerebral cortex: 17.2	placenta: 3.0
GABRG2		ENSG00000113327	Gamma-aminobutyric acid (GABA) A receptor, gamma 2	5	161494546-161582542	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 54.5	adrenal gland: 8.7
GABRR1		ENSG00000146276	Gamma-aminobutyric acid (GABA) A receptor, rho 1	6	89887220-89940997	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	6	testis: 1.7	placenta: 0.3
GAD2	GAD65	ENSG00000136750	Glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	10	26505236-26593487	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002682, HPA044637	Supportive			Tissue enriched	6	cerebral cortex: 12.9	pancreas: 2.0
GBP6	DKFZp686G0786	ENSG00000183347	Guanylate binding protein family, member 6	1	89829617-89852020	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA027744	Supportive			Tissue enriched	6	esophagus: 376.7	tonsil: 65.2
GDF9		ENSG00000164404	Growth differentiation factor 9	5	132196873-132202576	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	6	testis: 7.2	thyroid gland: 1.2
GGACT	A2LD1	ENSG00000134864	Gamma-glutamylamine cyclotransferase	13	101183810-101241782	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA065320	Supportive			Tissue enriched	6	kidney: 64.5	duodenum: 11.2
GJB2	CX26, DFNA3, DFNB1, NSRD1	ENSG00000165474	Gap junction protein, beta 2, 26kDa	13	20761609-20767037	Disease related genes, Potential drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB013093	Uncertain			Tissue enriched	6	esophagus: 563.5	tonsil: 87.2
GLRA3		ENSG00000145451	Glycine receptor, alpha 3	4	175558065-175750465	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA014805	Uncertain			Tissue enriched	6	cerebral cortex: 5.8	testis: 0.9
GOLGA6A	GLP, GOLGA6	ENSG00000159289	Golgin A6 family, member A	15	74362198-74374891		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA044978, HPA045056, HPA050087	Supportive	Uncertain		Tissue enriched	6	testis: 23.0	liver: 3.8
GPC3	DGSX, OCI-5, SDYS, SGB, SGBS, SGBS1	ENSG00000147257	Glypican 3	X	132669773-133119922	Cancer-related genes, Disease related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA006316, CAB017784	Uncertain			Tissue enriched	6	placenta: 972.7	lung: 152.7
GPR17		ENSG00000144230	G protein-coupled receptor 17	2	128403439-128410213	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA029766	Supportive	Uncertain	Vesicles	Tissue enriched	6	cerebral cortex: 30.6	lung: 4.7
GPR25		ENSG00000170128	G protein-coupled receptor 25	1	200842083-200843306	G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	stomach: 1.8	spleen: 0.3
GRIA2	GluA2, GLUR2, GLURB	ENSG00000120251	Glutamate receptor, ionotropic, AMPA 2	4	158125334-158287227	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB006830, CAB007812, HPA008441, CAB012981	Supportive			Tissue enriched	6	cerebral cortex: 124.1	endometrium: 22.4
GRIA4	GluA4, GLUR4, GLURD	ENSG00000152578	Glutamate receptor, ionotropic, AMPA 4	11	105480721-105852819	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 46.4	adrenal gland: 7.3
GRID2	GluD2, GluR-delta-2	ENSG00000152208	Glutamate receptor, ionotropic, delta 2	4	93225550-94695707	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA056253, HPA058538	Uncertain			Tissue enriched	6	testis: 26.5	cerebral cortex: 4.2
GTSF1	FAM112B, FLJ32942	ENSG00000170627	Gametocyte specific factor 1	12	54849734-54867386	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038876, HPA038877	Supportive	Uncertain	Nucleus but not nucleoli, Cytoskeleton (Intermediate filaments)	Tissue enriched	6	testis: 155.4	placenta: 25.5
H1FX	H1X, MGC15959, MGC8350	ENSG00000184897	H1 histone family, member X	3	129033615-129035120	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB012235, HPA040099	Supportive	Supportive	Nucleus, Nucleoli	Tissue enriched	6	bone marrow: 377.4	spleen: 62.6
HABP2	FSAP, HABP, HGFAL, PHBP	ENSG00000148702	Hyaluronan binding protein 2	10	115310596-115349361	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019518	Uncertain			Tissue enriched	6	liver: 226.9	gallbladder: 38.8
HEATR4	MGC48595	ENSG00000187105	HEAT repeat containing 4	14	73945189-74025651	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA003642, HPA019767	Uncertain	Uncertain	Nucleus but not nucleoli, Vesicles	Tissue enriched	6	testis: 8.0	duodenum: 1.4
HIST1H3B	H3/l, H3FL	ENSG00000124693	Histone cluster 1, H3b	6	26031817-26032288	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB037187, HPA042570	Supportive	Supportive	Nucleus but not nucleoli	Tissue enriched	6	bone marrow: 2.3	lymph node: 0.4
HMGN4	HMG17L3, NHC	ENSG00000182952	High mobility group nucleosomal binding domain 4	6	26538633-26546482	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	esophagus: 669.1	ovary: 105.3
HR	ALUNC, AU	ENSG00000168453	Hair growth associated	8	21971928-21990897	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	skin: 84.3	cerebral cortex: 15.3
HS3ST4	3OST4	ENSG00000182601	Heparan sulfate (glucosamine) 3-O-sulfotransferase 4	16	25703347-26149009	Enzymes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	cerebral cortex: 12.3	spleen: 1.9
IBA57-AS1	C1orf148, FLJ32878	ENSG00000203684	IBA57 antisense RNA 1 (head to head)	1	228351787-228353213		Evidence at transcript level	Evidence at transcript level	No evidence		HPA027719	Uncertain			Tissue enriched	6	testis: 6.6	endometrium: 1.2
IGFBPL1	bA113O24.1	ENSG00000137142	Insulin-like growth factor binding protein-like 1	9	38408991-38424444	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA051354	Uncertain	Uncertain	Nucleus but not nucleoli, Vesicles	Tissue enriched	6	thyroid gland: 9.5	cerebral cortex: 1.6
IL8	3-10C, AMCF-I, b-ENAP, CXCL8, GCP-1, GCP1, IL-8, K60, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1, SCYB8, TSG-1	ENSG00000169429	Interleukin 8	4	74606223-74609433	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA057179	Uncertain			Tissue enriched	6	bone marrow: 1190.8	appendix: 200.0
INSL6	RIF1	ENSG00000120210	Insulin-like 6	9	5131979-5185668	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA021364	Supportive			Tissue enriched	6	testis: 13.2	placenta: 2.3
IQUB	FLJ35834	ENSG00000164675	IQ motif and ubiquitin domain containing	7	123092454-123175131	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020621, HPA049626	Uncertain			Tissue enriched	6	testis: 35.6	fallopian tube: 6.1
IZUMO1	IZUMO, MGC34799, OBF	ENSG00000182264	Izumo sperm-egg fusion 1	19	49244109-49250166	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038104	Supportive			Tissue enriched	6	testis: 17.2	pancreas: 2.9
KCNA6	HBK2, Kv1.6	ENSG00000151079	Potassium voltage-gated channel, shaker-related subfamily, member 6	12	4918342-4960277	FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB011539, HPA014418	Uncertain	Uncertain	Plasma membrane	Tissue enriched	6	cerebral cortex: 9.5	adrenal gland: 1.6
KCNJ11	BIR, Kir6.2	ENSG00000187486	Potassium inwardly-rectifying channel, subfamily J, member 11	11	17407406-17410878	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA048891	Uncertain			Tissue enriched	6	skeletal muscle: 31.0	heart muscle: 5.5
KCNJ12	hIRK1, IRK2, KCNJN1, Kir2.2, Kir2.2v	ENSG00000184185	Potassium inwardly-rectifying channel, subfamily J, member 12	17	21279509-21323179	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA027021	Uncertain			Tissue enriched	6	skeletal muscle: 26.6	heart muscle: 4.5
KCNK2	K2p2.1, TREK-1	ENSG00000082482	Potassium channel, subfamily K, member 2	1	215179118-215410436	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA056054	Uncertain			Tissue enriched	6	adrenal gland: 64.8	thyroid gland: 10.0
KCNK7	K2p7.1	ENSG00000173338	Potassium channel, subfamily K, member 7	11	65360326-65363467	Predicted membrane proteins, Predicted secreted proteins, Voltage-gated ion channels	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	skin: 33.7	esophagus: 5.6
KDM5B	CT31, JARID1B, PLU-1, RBBP2H1A	ENSG00000117139	Lysine (K)-specific demethylase 5B	1	202696526-202778598	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA027179, HPA053723, CAB068193	Supportive	Supportive	Nucleus	Tissue enriched	6	testis: 126.4	skin: 22.8
KIAA1210		ENSG00000250423	KIAA1210	X	118212598-118284542	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA000551, HPA048322	Supportive			Tissue enriched	6	testis: 32.6	fallopian tube: 5.9
KIAA1456	C8orf79, FLJ36980	ENSG00000250305	KIAA1456	8	12803151-12889012		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA024658, HPA024660, HPA024673	Uncertain			Tissue enriched	6	thyroid gland: 42.5	heart muscle: 7.3
KIAA1875		ENSG00000179698	KIAA1875	8	145162629-145173218		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA059409	Uncertain			Tissue enriched	6	testis: 10.0	salivary gland: 1.6
KIRREL3	KIAA1867, KIRRE, NEPH2	ENSG00000149571	Kin of IRRE like 3 (Drosophila)	11	126293254-126873355	Disease related genes, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053324, HPA056320	Supportive			Tissue enriched	6	cerebral cortex: 12.2	spleen: 2.2
KLF17	FLJ40160, Zfp393, ZNF393	ENSG00000171872	Kruppel-like factor 17	1	44584522-44600812	Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA024629	Uncertain	Uncertain	Nucleus but not nucleoli, Golgi apparatus	Tissue enriched	6	testis: 7.1	smooth muscle: 1.3
KLK13	KLK-L4	ENSG00000167759	Kallikrein-related peptidase 13	19	51559463-51568371	Cancer-related genes, Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019487, CAB025453	Uncertain	Uncertain		Tissue enriched	6	esophagus: 517.6	tonsil: 82.2
KRT83	Hb-3, KRTHB3	ENSG00000170523	Keratin 83	12	52708085-52715182	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB004987	Uncertain			Tissue enriched	6	thyroid gland: 1.2	testis: 0.2
LAMP3	CD208, DC-LAMP, DCLAMP, LAMP, TSC403	ENSG00000078081	Lysosomal-associated membrane protein 3	3	182840001-182881627	CD markers, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025133, HPA051467	Supportive			Tissue enriched	6	lung: 177.7	appendix: 30.8
LCN1	MGC71975, PMFA, TLC, TP, VEGP	ENSG00000160349	Lipocalin 1	9	138413284-138418378	Cancer-related genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	fallopian tube: 2.2	heart muscle: 0.4
LETM2	FLJ25409	ENSG00000165046	Leucine zipper-EF-hand containing transmembrane protein 2	8	38243725-38267045	Mitochondrial proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA025032, HPA053676	Uncertain	Uncertain	Nucleus, Cytoplasm	Tissue enriched	6	testis: 20.4	stomach: 3.5
LGI1	EPITEMPIN, EPT, ETL1, IB1099	ENSG00000108231	Leucine-rich, glioma inactivated 1	10	95517566-95557916	Cancer-related genes, Disease related genes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA054482	Uncertain			Tissue enriched	6	cerebral cortex: 28.8	liver: 4.7
LINC01098		ENSG00000231171	Long intergenic non-protein coding RNA 1098	4	178649911-178911904		Evidence at transcript level	Evidence at transcript level			HPA053257	Uncertain			Tissue enriched	6	testis: 1.4	salivary gland: 0.2
LIPN	bA186O14.3, LIPL4	ENSG00000204020	Lipase, family member N	10	90521163-90537999	Disease related genes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA039997	Uncertain			Tissue enriched	6	skin: 12.0	appendix: 2.0
LIX1	C5orf11	ENSG00000145721	Lix1 homolog (chicken)	5	96427574-96478576		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA058426	Uncertain			Tissue enriched	6	cerebral cortex: 19.3	thyroid gland: 3.2
LMTK3	KIAA1883, LMR3, TYKLM3	ENSG00000142235	Lemur tyrosine kinase 3	19	48988528-49016446	Enzymes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA040203	Uncertain			Tissue enriched	6	cerebral cortex: 9.0	duodenum: 1.4
LRRC4C	KIAA1580, NGL-1	ENSG00000148948	Leucine rich repeat containing 4C	11	40135753-41481323	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051335	Uncertain			Tissue enriched	6	cerebral cortex: 23.0	adrenal gland: 3.8
LRRIQ3	LRRC44, MGC22773	ENSG00000162620	Leucine-rich repeats and IQ motif containing 3	1	74491699-74663871	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA030798, HPA030799, HPA030801	Uncertain	Supportive	Plasma membrane	Tissue enriched	6	testis: 24.7	fallopian tube: 4.5
LY6G6F	C6orf21, G6f, LY6G6D, NG32	ENSG00000204424	Lymphocyte antigen 6 complex, locus G6F	6	31674640-31685581	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008053	Uncertain			Tissue enriched	6	bone marrow: 2.6	spleen: 0.4
LYPD1	LYPDC1, MGC29643	ENSG00000150551	LY6/PLAUR domain containing 1	2	133402426-133429152	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB020783, HPA043594	Uncertain	Uncertain	Nucleus but not nucleoli	Tissue enriched	6	fallopian tube: 86.6	cerebral cortex: 13.6
MAL		ENSG00000172005	Mal, T-cell differentiation protein	2	95691422-95719737	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	6	esophagus: 1453.9	tonsil: 251.7
MAPK8IP2	IB2, JIP2, PRKM8IPL	ENSG00000008735	Mitogen-activated protein kinase 8 interacting protein 2	22	51039114-51052409	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA034780	Uncertain			Tissue enriched	6	cerebral cortex: 55.4	adrenal gland: 9.8
MAST1	KIAA0973, SAST	ENSG00000105613	Microtubule associated serine/threonine kinase 1	19	12944765-12985765	Cytoskeleton related proteins, Enzymes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA028181	Uncertain	Uncertain	Vesicles	Tissue enriched	6	cerebral cortex: 29.5	adrenal gland: 5.0
MEST	PEG1	ENSG00000106484	Mesoderm specific transcript	7	130126012-130146133	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA005623	Uncertain	Uncertain	Cytoplasm, Golgi apparatus	Tissue enriched	6	placenta: 539.5	adipose tissue: 96.0
